"region","value"
"alaska",26
"alabama",1751
"arkansas",535
"arizona",4137
"california",10189
"colorado",1857
"connecticut",4441
"district of columbia",590
"delaware",591
"florida",8109
"georgia",4186
"hawaii",31
"iowa",925
"idaho",235
"illinois",7840
"indiana",3036
"kansas",380
"kentucky",772
"louisiana",4207
"massachusetts",8721
"maryland",3585
"maine",125
"michigan",6520
"minnesota",1698
"missouri",1301
"mississippi",1874
"montana",75
"north carolina",2160
"north dakota",112
"nebraska",345
"new hampshire",419
"new jersey",15869
"new mexico",681
"nevada",977
"new york",8875
"ohio",3668
"oklahoma",603
"oregon",355
"pennsylvania",7313
"rhode island",1014
"south carolina",2007
"south dakota",146
"tennessee",1215
"texas",8343
"utah",336
"virginia",2326
"vermont",58
"washington",1688
"wisconsin",1003
"west virginia",131
"wyoming",28
