"region","value"
"alaska",490
"alabama",2053
"arkansas",1620
"arizona",2595
"california",1380
"colorado",884
"connecticut",1408
"district of columbia",1801
"delaware",1610
"florida",2445
"georgia",2029
"hawaii",221
"iowa",1530
"idaho",1396
"illinois",1523
"indiana",1095
"kansas",1052
"kentucky",778
"louisiana",2763
"massachusetts",1749
"maryland",1580
"maine",302
"michigan",963
"minnesota",1085
"missouri",937
"mississippi",2232
"montana",466
"north carolina",1298
"north dakota",999
"nebraska",1464
"new hampshire",503
"new jersey",2070
"new mexico",1055
"nevada",1834
"new york",1730
"ohio",855
"oklahoma",1171
"oregon",501
"pennsylvania",922
"rhode island",1867
"south carolina",1956
"south dakota",1074
"tennessee",1781
"texas",1678
"utah",1395
"virginia",1175
"vermont",233
"washington",830
"wisconsin",1104
"west virginia",419
"wyoming",522
